Time (s)	Load (N)	Extension Before Compensation (mm)	Extension (mm)
0.2343	-0.23650	4.6742	-0.022302
0.4687	-0.15919	4.7035	0.0070026
0.7030	-0.081884	4.7036	0.0070862
0.9373	0.47110	4.9846	0.28801
1.172	1.6202	5.3724	0.67586
1.406	3.2590	5.7649	1.0684
1.640	4.7969	6.1539	1.4574
1.875	6.4019	6.5460	1.8494
2.109	8.1846	6.9351	2.2385
2.343	10.166	7.3287	2.6322
2.578	12.401	7.7170	3.0205
2.812	15.069	8.1075	3.4109
3.046	18.076	8.4979	3.8014
3.281	21.470	8.8912	4.1947
3.515	23.212	9.0645	4.3679
3.749	15.871	8.6812	3.9847
3.984	12.245	8.4231	3.7266
4.218	7.6759	8.0264	3.3299
4.452	4.9086	7.6307	2.9342
4.687	2.5709	7.2389	2.5423
4.921	0.87775	6.8470	2.1505
5.155	0.043728	6.4549	1.7583
5.389	-0.66255	6.0626	1.3660
5.624	-0.69138	5.6707	0.97416
5.858	-0.82808	5.2803	0.58372
6.092	-0.96477	4.8892	0.19269
6.327	-1.1625	4.6772	-0.019328
6.561	-1.0197	5.0655	0.36898
6.795	-0.87682	5.3269	0.63033
7.030	-0.68111	5.7184	1.0219
7.264	-0.19057	6.1100	1.4134
7.498	0.80488	6.5015	1.8050
7.733	1.9628	6.8931	2.1965
7.967	3.8504	7.2864	2.5899
8.201	6.1541	7.6796	2.9831
8.436	9.3975	8.0701	3.3736
8.670	13.229	8.4607	3.7641
8.904	17.731	8.8539	4.1573
9.139	21.432	9.0924	4.3959
9.373	14.992	8.7119	4.0153
9.607	10.816	8.4452	3.7486
9.842	7.5580	8.0491	3.3525
10.08	4.4368	7.6589	2.9623
10.31	2.4722	7.2684	2.5719
10.54	0.95907	6.8774	2.1808
10.78	0.13807	6.4842	1.7877
11.01	-0.44233	6.0964	1.3999
11.25	-0.66585	5.7065	1.0100
11.48	-0.88938	5.3157	0.61917
11.72	-1.0645	4.9235	0.22695
11.95	-1.1284	4.6521	-0.044472
12.18	-1.0613	5.0376	0.34108
12.42	-0.99411	5.3018	0.60529
12.65	-0.79327	5.6926	0.99605
12.89	-0.28751	6.0834	1.3868
13.12	0.21826	6.4741	1.7776
13.36	1.2821	6.8649	2.1684
13.59	2.9842	7.2557	2.5591
13.83	5.1131	7.6464	2.9499
14.06	8.0783	8.0433	3.3468
14.29	11.694	8.4340	3.7374
14.53	16.114	8.8236	4.1271
14.76	20.352	9.1142	4.4176
15.00	14.565	8.7495	4.0529
15.23	10.734	8.4782	3.7816
15.47	7.1686	8.0851	3.3886
15.70	4.4020	7.6921	2.9955
15.93	2.1788	7.2990	2.6025
16.17	0.99025	6.9069	2.2103
16.40	-0.030839	6.5164	1.8198
16.64	-0.43826	6.1258	1.4293
16.87	-0.68195	5.7359	1.0393
17.11	-0.92565	5.3463	0.64974
17.34	-1.0430	4.9533	0.25671
17.57	-1.0965	4.6350	-0.061571
17.81	-1.0071	5.0055	0.30897
18.04	-0.90775	5.2700	0.57350
18.28	-0.80837	5.6616	0.96502
18.51	-0.44804	6.0531	1.3565
18.75	-0.024243	6.4446	1.7481
18.98	0.94727	6.8361	2.1396
19.21	2.3857	7.2225	2.5260
19.45	4.3922	7.6135	2.9169
19.68	7.1118	8.0056	3.3090
19.92	10.551	8.3943	3.6977
20.15	14.748	8.7883	4.0917
20.39	19.579	9.1261	4.4295
20.62	14.677	8.7830	4.0865
20.85	10.083	8.5007	3.8041
21.09	7.0353	8.1273	3.4308
21.32	4.1835	7.7316	3.0351
21.56	2.0914	7.3383	2.6417
21.79	0.86786	6.9476	2.2510
22.03	-0.055365	6.5569	1.8604
22.26	-0.48632	6.1662	1.4697
22.50	-0.77856	5.7706	1.0741
22.73	-1.0429	5.3811	0.68457
22.96	-1.0969	4.9920	0.29546

