Time (s)	Load (N)	Extension Before Compensation (mm)	Extension (mm)
0.1591	0.00000	0.00000	-0.0039307
0.3181	0.00000	0.0019821	-0.0019485
0.4772	0.00000	0.0038517	-0.000078995
0.6362	0.00000	0.0038965	-0.000034138
0.7953	0.00000	0.011473	0.0075424
0.9544	0.44274	0.25485	0.25092
1.113	1.7313	0.52150	0.51757
1.272	3.5700	0.78508	0.78115
1.432	6.0967	1.0510	1.0471
1.591	9.1593	1.3162	1.3123
1.750	12.790	1.5825	1.5785
1.909	16.395	1.8478	1.8439
2.068	19.987	2.1112	2.1073
2.227	23.580	2.3797	2.3758
2.386	27.059	2.6430	2.6391
2.545	30.241	2.8732	2.8692
2.704	24.956	2.6869	2.6830
2.863	17.577	2.4188	2.4148
3.022	14.014	2.2828	2.2789
3.181	9.9551	2.0168	2.0129
3.340	6.3394	1.7508	1.7469
3.499	4.0641	1.4848	1.4809
3.658	1.8378	1.2188	1.2149
3.817	1.0944	0.95284	0.94891
3.977	0.35105	0.67943	0.67550
4.136	-0.066207	0.41416	0.41023
4.295	-0.14434	0.14890	0.14497
4.454	-0.22248	-0.060887	-0.064818
4.613	-0.16083	0.15818	0.15424
4.772	-0.080284	0.42921	0.42528
4.931	0.16589	0.56360	0.55967
5.090	0.97949	0.83052	0.82659
5.249	2.2337	1.0974	1.0935
5.408	4.3858	1.3644	1.3604
5.567	7.2526	1.6313	1.6274
5.726	10.768	1.8979	1.8939
5.885	14.819	2.1625	2.1586
6.044	19.203	2.4271	2.4232
6.203	24.170	2.6918	2.6879
6.362	27.805	2.8647	2.8607
6.522	21.478	2.6299	2.6260
6.681	15.327	2.4292	2.4253
6.840	12.224	2.2267	2.2227
6.999	8.0144	1.9610	1.9571
7.158	5.1753	1.6954	1.6915
7.317	3.0036	1.4298	1.4258
7.476	1.5424	1.1641	1.1602
7.635	0.86762	0.89848	0.89455
7.794	0.19288	0.62615	0.62221
7.953	0.00065749	0.36025	0.35632
8.112	-0.091665	0.094900	0.090969
8.271	-0.15712	-0.031450	-0.035380
8.430	-0.12333	0.22776	0.22383
8.589	-0.089529	0.42490	0.42097
8.748	0.12511	0.62909	0.62516
8.907	0.79465	0.89756	0.89363
9.066	2.0867	1.1660	1.1621
9.226	4.3328	1.4345	1.4306
9.385	6.9654	1.6997	1.6958
9.544	10.339	1.9646	1.9607
9.703	14.457	2.2296	2.2256
9.862	18.953	2.4945	2.4906
10.02	23.758	2.7594	2.7555
10.18	25.682	2.8348	2.8309
10.34	18.916	2.5738	2.5699
10.50	13.280	2.3409	2.3370
10.66	10.051	2.1548	2.1509
10.82	6.4312	1.8855	1.8816
10.98	3.7057	1.6162	1.6123
11.13	1.9620	1.3509	1.3469
11.29	0.70067	1.0883	1.0844
11.45	0.21648	0.82515	0.82122
11.61	-0.26771	0.56040	0.55647
11.77	-0.39397	0.29565	0.29172
11.93	-0.31775	0.030896	0.026966
12.09	-0.25388	0.018377	0.014446
12.25	-0.21889	0.29361	0.28967
12.41	-0.18391	0.55889	0.55496
12.57	0.38085	0.69856	0.69463
12.72	0.93807	0.96509	0.96116
12.88	2.2354	1.2316	1.2277
13.04	4.4061	1.4982	1.4942
13.20	7.0012	1.7647	1.7608
13.36	10.404	2.0312	2.0273
13.52	14.476	2.2978	2.2938
13.68	19.278	2.5614	2.5574
13.84	24.149	2.8237	2.8198
14.00	23.772	2.7822	2.7782
14.16	16.250	2.5073	2.5034
14.32	11.297	2.2445	2.2405
14.47	8.2973	2.0981	2.0942
14.63	5.6963	1.8323	1.8284
14.79	2.9532	1.5665	1.5626
14.95	1.8134	1.3007	1.2968
15.11	0.75943	1.0349	1.0310
15.27	0.20330	0.76881	0.76488
15.43	0.11051	0.50118	0.49725
15.59	0.017721	0.23357	0.22964

