x-axis,F1
Hertz,dBV
+0.0E+00,-56.29028E+00
+100E-03,-66.33013E+00
+200E-03,-70.78596E+00
+300E-03,-78.29453E+00
+400E-03,-77.63893E+00
+500E-03,-75.15923E+00
+600E-03,-78.40329E+00
+700E-03,-74.29352E+00
+800E-03,-72.93630E+00
+900E-03,-48.17389E+00
+1.000E+00,-30.93001E+00
+1.100E+00,-48.01379E+00
+1.200E+00,-78.53269E+00
+1.300E+00,-77.53944E+00
+1.400E+00,-79.04326E+00
+1.500E+00,-81.74978E+00
+1.600E+00,-78.71714E+00
+1.700E+00,-95.98300E+00
+1.800E+00,-81.17288E+00
+1.900E+00,-68.86260E+00
+2.000E+00,-49.39874E+00
+2.100E+00,-67.55117E+00
+2.200E+00,-81.66541E+00
+2.300E+00,-87.40698E+00
+2.400E+00,-76.09794E+00
+2.500E+00,-86.40315E+00
+2.600E+00,-89.92449E+00
+2.700E+00,-83.25807E+00
+2.800E+00,-77.70406E+00
+2.900E+00,-51.02949E+00
+3.000E+00,-33.06349E+00
+3.100E+00,-49.58634E+00
+3.200E+00,-74.51947E+00
+3.300E+00,-79.28999E+00
+3.400E+00,-85.35338E+00
+3.500E+00,-82.24151E+00
+3.600E+00,-81.13159E+00
+3.700E+00,-78.96080E+00
+3.800E+00,-73.02237E+00
+3.900E+00,-50.57159E+00
+4.000E+00,-31.28713E+00
+4.100E+00,-46.52316E+00
+4.200E+00,-85.68365E+00
+4.300E+00,-75.93875E+00
+4.400E+00,-84.18084E+00
+4.500E+00,-93.59038E+00
+4.600E+00,-77.75710E+00
+4.700E+00,-76.78778E+00
+4.800E+00,-78.08858E+00
+4.900E+00,-52.60939E+00
+5.000E+00,-32.75983E+00
+5.100E+00,-48.26824E+00
+5.200E+00,-78.11709E+00
+5.300E+00,-83.94817E+00
+5.400E+00,-78.10645E+00
+5.500E+00,-82.77989E+00
+5.600E+00,-79.20940E+00
+5.700E+00,-80.86060E+00
+5.800E+00,-76.56927E+00
+5.900E+00,-54.78224E+00
+6.000E+00,-34.99971E+00
+6.100E+00,-49.84367E+00
+6.200E+00,-77.40765E+00
+6.300E+00,-82.25904E+00
+6.400E+00,-87.26184E+00
+6.500E+00,-80.43699E+00
+6.600E+00,-77.75782E+00
+6.700E+00,-81.05509E+00
+6.800E+00,-76.53536E+00
+6.900E+00,-55.31910E+00
+7.000E+00,-34.35945E+00
+7.100E+00,-49.54950E+00
+7.200E+00,-77.32070E+00
+7.300E+00,-76.65805E+00
+7.400E+00,-87.24720E+00
+7.500E+00,-92.45729E+00
+7.600E+00,-91.06773E+00
+7.700E+00,-82.90040E+00
+7.800E+00,-75.60105E+00
+7.900E+00,-53.19928E+00
+8.000E+00,-32.29876E+00
+8.100E+00,-46.72932E+00
+8.200E+00,-86.02288E+00
+8.300E+00,-78.14947E+00
+8.400E+00,-81.26385E+00
+8.500E+00,-81.87242E+00
+8.600E+00,-83.18041E+00
+8.700E+00,-92.46413E+00
+8.800E+00,-74.28292E+00
+8.900E+00,-53.29050E+00
+9.000E+00,-31.26711E+00
+9.100E+00,-45.21627E+00
+9.200E+00,-75.30805E+00
+9.300E+00,-77.48584E+00
+9.400E+00,-86.89749E+00
+9.500E+00,-99.09283E+00
+9.600E+00,-84.66691E+00
+9.700E+00,-81.42160E+00
+9.800E+00,-73.77405E+00
+9.900E+00,-52.70416E+00
+10.000E+00,-31.37308E+00
+10.100E+00,-44.97463E+00
+10.200E+00,-85.77290E+00
+10.300E+00,-77.36280E+00
+10.400E+00,-85.69582E+00
+10.500E+00,-84.22567E+00
+10.600E+00,-85.83292E+00
+10.700E+00,-79.77523E+00
+10.800E+00,-74.21585E+00
+10.900E+00,-55.55315E+00
+11.000E+00,-31.87828E+00
+11.100E+00,-44.73059E+00
+11.200E+00,-77.33912E+00
+11.300E+00,-81.00575E+00
+11.400E+00,-90.64659E+00
+11.500E+00,-83.55819E+00
+11.600E+00,-82.46309E+00
+11.700E+00,-87.33798E+00
+11.800E+00,-71.67272E+00
+11.900E+00,-56.46893E+00
+12.000E+00,-32.23770E+00
+12.100E+00,-45.28364E+00
+12.200E+00,-81.19006E+00
+12.300E+00,-78.31176E+00
+12.400E+00,-103.78103E+00
+12.500E+00,-85.10483E+00
+12.600E+00,-85.18326E+00
+12.700E+00,-79.61113E+00
+12.800E+00,-75.83545E+00
+12.900E+00,-57.75552E+00
+13.000E+00,-32.98716E+00
+13.100E+00,-45.28375E+00
+13.200E+00,-85.83470E+00
+13.300E+00,-76.87422E+00
+13.400E+00,-97.06012E+00
+13.500E+00,-94.05146E+00
+13.600E+00,-85.17356E+00
+13.700E+00,-82.10222E+00
+13.800E+00,-77.26696E+00
+13.900E+00,-62.03788E+00
+14.000E+00,-33.65312E+00
+14.100E+00,-46.06382E+00
+14.200E+00,-76.06788E+00
+14.300E+00,-77.19442E+00
+14.400E+00,-84.00774E+00
+14.500E+00,-84.57406E+00
+14.600E+00,-89.95083E+00
+14.700E+00,-82.40524E+00
+14.800E+00,-74.85410E+00
+14.900E+00,-59.14702E+00
+15.000E+00,-33.92390E+00
+15.100E+00,-45.89706E+00
+15.200E+00,-86.58869E+00
+15.300E+00,-83.40346E+00
+15.400E+00,-81.31204E+00
+15.500E+00,-89.59678E+00
+15.600E+00,-80.50517E+00
+15.700E+00,-90.46524E+00
+15.800E+00,-71.07365E+00
+15.900E+00,-62.11217E+00
+16.000E+00,-34.03042E+00
+16.100E+00,-45.63747E+00
+16.200E+00,-77.22672E+00
+16.300E+00,-80.59475E+00
+16.400E+00,-74.75631E+00
+16.500E+00,-92.95692E+00
+16.600E+00,-81.69761E+00
+16.700E+00,-84.35764E+00
+16.800E+00,-76.50740E+00
+16.900E+00,-60.65213E+00
+17.000E+00,-34.69424E+00
+17.100E+00,-46.23732E+00
+17.200E+00,-75.12042E+00
+17.300E+00,-77.29510E+00
+17.400E+00,-88.17394E+00
+17.500E+00,-93.21124E+00
+17.600E+00,-78.90287E+00
+17.700E+00,-78.40592E+00
+17.800E+00,-76.57175E+00
+17.900E+00,-65.62281E+00
+18.000E+00,-35.28196E+00
+18.100E+00,-46.05754E+00
+18.200E+00,-75.70851E+00
+18.300E+00,-79.01835E+00
+18.400E+00,-86.09005E+00
+18.500E+00,-79.67296E+00
+18.600E+00,-81.66529E+00
+18.700E+00,-75.87797E+00
+18.800E+00,-80.15139E+00
+18.900E+00,-62.65266E+00
+19.000E+00,-35.80150E+00
+19.100E+00,-46.28097E+00
+19.200E+00,-80.26637E+00
+19.300E+00,-79.88242E+00
+19.400E+00,-81.79917E+00
+19.500E+00,-82.31323E+00
+19.600E+00,-93.78262E+00
+19.700E+00,-83.68223E+00
+19.800E+00,-75.85884E+00
+19.900E+00,-67.31622E+00
+20.000E+00,-36.74452E+00
+20.100E+00,-47.11349E+00
+20.200E+00,-76.95560E+00
+20.300E+00,-76.68583E+00
+20.400E+00,-87.14642E+00
+20.500E+00,-83.99001E+00
+20.600E+00,-81.72000E+00
+20.700E+00,-83.74479E+00
+20.800E+00,-79.26526E+00
+20.900E+00,-65.02422E+00
+21.000E+00,-37.24999E+00
+21.100E+00,-47.40981E+00
+21.200E+00,-85.41174E+00
+21.300E+00,-91.11141E+00
+21.400E+00,-82.28470E+00
+21.500E+00,-81.50318E+00
+21.600E+00,-96.70259E+00
+21.700E+00,-88.34948E+00
+21.800E+00,-77.07688E+00
+21.900E+00,-68.80489E+00
+22.000E+00,-37.87817E+00
+22.100E+00,-47.50910E+00
+22.200E+00,-86.36392E+00
+22.300E+00,-90.79996E+00
+22.400E+00,-104.93884E+00
+22.500E+00,-90.07030E+00
+22.600E+00,-88.96013E+00
+22.700E+00,-97.01123E+00
+22.800E+00,-86.36698E+00
+22.900E+00,-67.61920E+00
+23.000E+00,-38.96963E+00
+23.100E+00,-48.33333E+00
+23.200E+00,-83.13711E+00
+23.300E+00,-83.44890E+00
+23.400E+00,-78.62435E+00
+23.500E+00,-88.97831E+00
+23.600E+00,-91.22459E+00
+23.700E+00,-82.54169E+00
+23.800E+00,-89.18748E+00
+23.900E+00,-70.99663E+00
+24.000E+00,-40.05238E+00
+24.100E+00,-49.22535E+00
+24.200E+00,-81.00504E+00
+24.300E+00,-88.96675E+00
+24.400E+00,-76.73550E+00
+24.500E+00,-97.86601E+00
+24.600E+00,-92.87906E+00
+24.700E+00,-83.53396E+00
+24.800E+00,-80.26364E+00
+24.900E+00,-71.64349E+00
+25.000E+00,-40.70317E+00
+25.100E+00,-49.46086E+00
+25.200E+00,-85.24956E+00
+25.300E+00,-91.42360E+00
+25.400E+00,-89.30883E+00
