x-axis,F1
Hertz,dBV
+0.0E+00,-77.75024E+00
+500.0E-03,-71.31504E+00
+1.0000E+00,-71.24520E+00
+1.5000E+00,-78.23560E+00
+2.0000E+00,-73.46780E+00
+2.5000E+00,-75.76549E+00
+3.0000E+00,-88.60389E+00
+3.5000E+00,-80.96515E+00
+4.0000E+00,-75.89189E+00
+4.5000E+00,-79.19109E+00
+5.0000E+00,-77.96526E+00
+5.5000E+00,-79.46294E+00
+6.0000E+00,-88.55574E+00
+6.5000E+00,-85.55608E+00
+7.0000E+00,-81.24712E+00
+7.5000E+00,-82.00872E+00
+8.0000E+00,-81.38989E+00
+8.5000E+00,-80.86790E+00
+9.0000E+00,-82.45510E+00
+9.5000E+00,-83.95736E+00
+10.0000E+00,-84.87437E+00
+10.5000E+00,-82.99437E+00
+11.0000E+00,-83.37946E+00
+11.5000E+00,-85.31248E+00
+12.0000E+00,-89.31888E+00
+12.5000E+00,-89.36622E+00
+13.0000E+00,-86.82636E+00
+13.5000E+00,-87.58156E+00
+14.0000E+00,-86.79747E+00
+14.5000E+00,-84.70253E+00
+15.0000E+00,-86.36653E+00
+15.5000E+00,-88.23894E+00
+16.0000E+00,-90.33494E+00
+16.5000E+00,-84.71279E+00
+17.0000E+00,-83.93758E+00
+17.5000E+00,-90.03358E+00
+18.0000E+00,-84.78575E+00
+18.5000E+00,-83.42452E+00
+19.0000E+00,-90.39092E+00
+19.5000E+00,-85.30029E+00
+20.0000E+00,-83.09919E+00
+20.5000E+00,-91.11359E+00
+21.0000E+00,-89.00764E+00
+21.5000E+00,-86.20613E+00
+22.0000E+00,-88.17893E+00
+22.5000E+00,-91.05954E+00
+23.0000E+00,-92.05444E+00
+23.5000E+00,-85.44964E+00
+24.0000E+00,-85.78108E+00
+24.5000E+00,-87.98078E+00
+25.0000E+00,-84.70558E+00
+25.5000E+00,-89.65985E+00
+26.0000E+00,-97.17257E+00
+26.5000E+00,-90.39177E+00
+27.0000E+00,-89.01806E+00
+27.5000E+00,-91.27915E+00
+28.0000E+00,-92.75915E+00
+28.5000E+00,-90.61017E+00
+29.0000E+00,-85.48002E+00
+29.5000E+00,-85.05602E+00
+30.0000E+00,-84.50012E+00
+30.5000E+00,-83.80732E+00
+31.0000E+00,-85.55210E+00
+31.5000E+00,-85.81315E+00
+32.0000E+00,-84.06435E+00
+32.5000E+00,-85.29878E+00
+33.0000E+00,-86.56318E+00
+33.5000E+00,-87.42558E+00
+34.0000E+00,-87.59202E+00
+34.5000E+00,-88.30551E+00
+35.0000E+00,-90.32471E+00
+35.5000E+00,-89.00589E+00
+36.0000E+00,-89.69796E+00
+36.5000E+00,-97.44996E+00
+37.0000E+00,-94.72596E+00
+37.5000E+00,-89.96392E+00
+38.0000E+00,-89.53992E+00
+38.5000E+00,-90.50882E+00
+39.0000E+00,-91.29944E+00
+39.5000E+00,-88.64024E+00
+40.0000E+00,-90.38838E+00
+40.5000E+00,-93.56852E+00
+41.0000E+00,-90.66292E+00
+41.5000E+00,-89.40201E+00
+42.0000E+00,-89.56798E+00
+42.5000E+00,-93.85278E+00
+43.0000E+00,-91.89744E+00
+43.5000E+00,-85.11466E+00
+44.0000E+00,-88.59146E+00
+44.5000E+00,-88.32917E+00
+45.0000E+00,-84.31317E+00
+45.5000E+00,-84.88886E+00
+46.0000E+00,-84.14999E+00
+46.5000E+00,-81.62999E+00
+47.0000E+00,-74.41608E+00
+47.5000E+00,-68.02111E+00
+48.0000E+00,-63.48991E+00
+48.5000E+00,-60.88859E+00
+49.0000E+00,-58.97644E+00
+49.5000E+00,-57.82764E+00
+50.0000E+00,-57.60663E+00
+50.5000E+00,-57.89544E+00
+51.0000E+00,-58.91944E+00
+51.5000E+00,-60.94245E+00
+52.0000E+00,-63.63483E+00
+52.5000E+00,-67.47963E+00
+53.0000E+00,-73.66981E+00
+53.5000E+00,-81.09997E+00
+54.0000E+00,-89.83117E+00
+54.5000E+00,-94.05883E+00
+55.0000E+00,-95.44023E+00
+55.5000E+00,-93.32983E+00
+56.0000E+00,-91.61818E+00
+56.5000E+00,-90.18750E+00
+57.0000E+00,-89.04670E+00
+57.5000E+00,-91.26665E+00
+58.0000E+00,-95.95260E+00
+58.5000E+00,-95.26780E+00
+59.0000E+00,-94.29322E+00
+59.5000E+00,-93.03722E+00
+60.0000E+00,-91.09185E+00
+60.5000E+00,-90.11383E+00
+61.0000E+00,-90.30743E+00
+61.5000E+00,-93.74527E+00
+62.0000E+00,-94.75881E+00
+62.5000E+00,-91.83081E+00
+63.0000E+00,-96.20859E+00
+63.5000E+00,-98.58582E+00
+64.0000E+00,-95.41142E+00
+64.5000E+00,-93.86689E+00
+65.0000E+00,-92.56535E+00
+65.5000E+00,-91.03095E+00
+66.0000E+00,-95.63239E+00
+66.5000E+00,-98.56397E+00
+67.0000E+00,-91.04237E+00
+67.5000E+00,-92.32561E+00
+68.0000E+00,-95.08321E+00
+68.5000E+00,-90.06561E+00
+69.0000E+00,-93.83839E+00
+69.5000E+00,-99.71030E+00
+70.0000E+00,-92.53590E+00
+70.5000E+00,-99.45116E+00
+71.0000E+00,-112.18304E+00
+71.5000E+00,-97.20064E+00
+72.0000E+00,-91.13477E+00
+72.5000E+00,-91.80933E+00
+73.0000E+00,-91.13893E+00
+73.5000E+00,-91.15988E+00
+74.0000E+00,-91.83028E+00
+74.5000E+00,-89.51878E+00
+75.0000E+00,-88.41286E+00
+75.5000E+00,-88.73606E+00
+76.0000E+00,-87.06472E+00
+76.5000E+00,-86.33828E+00
+77.0000E+00,-87.14788E+00
+77.5000E+00,-85.47037E+00
+78.0000E+00,-84.56557E+00
+78.5000E+00,-85.59917E+00
+79.0000E+00,-85.24288E+00
+79.5000E+00,-85.52382E+00
+80.0000E+00,-87.85022E+00
+80.5000E+00,-87.16223E+00
+81.0000E+00,-86.23082E+00
+81.5000E+00,-87.01642E+00
+82.0000E+00,-86.96815E+00
+82.5000E+00,-86.77603E+00
+83.0000E+00,-87.21603E+00
+83.5000E+00,-87.60821E+00
+84.0000E+00,-87.96971E+00
+84.5000E+00,-88.28651E+00
+85.0000E+00,-92.28163E+00
+85.5000E+00,-97.37939E+00
+86.0000E+00,-92.91059E+00
+86.5000E+00,-92.58026E+00
+87.0000E+00,-94.91649E+00
+87.5000E+00,-89.93089E+00
+88.0000E+00,-89.28088E+00
+88.5000E+00,-92.57048E+00
+89.0000E+00,-90.33170E+00
+89.5000E+00,-93.66728E+00
+90.0000E+00,-103.24648E+00
+90.5000E+00,-96.49046E+00
+91.0000E+00,-93.02885E+00
+91.5000E+00,-95.38725E+00
+92.0000E+00,-93.37461E+00
+92.5000E+00,-91.51431E+00
